_links/self/href,_links/teams/href,_links/fixtures/href,_links/leagueTable/href,id,caption,league,year,currentMatchday,numberOfMatchdays,numberOfTeams,numberOfGames,lastUpdated
http://api.football-data.org/v1/competitions/424,http://api.football-data.org/v1/competitions/424/teams,http://api.football-data.org/v1/competitions/424/fixtures,http://api.football-data.org/v1/competitions/424/leagueTable,424,European Championships France 2016,EC,2016,7,7,24,51,2016-07-10T21:32:20Z
http://api.football-data.org/v1/competitions/426,http://api.football-data.org/v1/competitions/426/teams,http://api.football-data.org/v1/competitions/426/fixtures,http://api.football-data.org/v1/competitions/426/leagueTable,426,Premier League 2016/17,PL,2016,28,38,20,380,2017-03-14T17:51:28Z
http://api.football-data.org/v1/competitions/427,http://api.football-data.org/v1/competitions/427/teams,http://api.football-data.org/v1/competitions/427/fixtures,http://api.football-data.org/v1/competitions/427/leagueTable,427,Championship 2016/17,ELC,2016,28,46,24,552,2017-03-14T21:50:22Z
http://api.football-data.org/v1/competitions/428,http://api.football-data.org/v1/competitions/428/teams,http://api.football-data.org/v1/competitions/428/fixtures,http://api.football-data.org/v1/competitions/428/leagueTable,428,League One 2016/17,EL1,2016,38,46,24,552,2017-03-14T21:50:51Z
http://api.football-data.org/v1/competitions/430,http://api.football-data.org/v1/competitions/430/teams,http://api.football-data.org/v1/competitions/430/fixtures,http://api.football-data.org/v1/competitions/430/leagueTable,430,1. Bundesliga 2016/17,BL1,2016,24,34,18,306,2017-03-12T18:30:12Z
http://api.football-data.org/v1/competitions/431,http://api.football-data.org/v1/competitions/431/teams,http://api.football-data.org/v1/competitions/431/fixtures,http://api.football-data.org/v1/competitions/431/leagueTable,431,2. Bundesliga 2016/17,BL2,2016,24,34,18,306,2017-03-13T21:10:12Z
http://api.football-data.org/v1/competitions/432,http://api.football-data.org/v1/competitions/432/teams,http://api.football-data.org/v1/competitions/432/fixtures,http://api.football-data.org/v1/competitions/432/leagueTable,432,DFB-Pokal 2016/17,DFB,2016,4,5,64,62,2017-03-09T06:28:00Z
http://api.football-data.org/v1/competitions/433,http://api.football-data.org/v1/competitions/433/teams,http://api.football-data.org/v1/competitions/433/fixtures,http://api.football-data.org/v1/competitions/433/leagueTable,433,Eredivisie 2016/17,DED,2016,26,34,18,306,2017-03-12T17:40:15Z
http://api.football-data.org/v1/competitions/434,http://api.football-data.org/v1/competitions/434/teams,http://api.football-data.org/v1/competitions/434/fixtures,http://api.football-data.org/v1/competitions/434/leagueTable,434,Ligue 1 2016/17,FL1,2016,29,38,20,380,2017-03-13T07:00:22Z
http://api.football-data.org/v1/competitions/435,http://api.football-data.org/v1/competitions/435/teams,http://api.football-data.org/v1/competitions/435/fixtures,http://api.football-data.org/v1/competitions/435/leagueTable,435,Ligue 2 2016/17,FL2,2016,29,38,20,380,2017-03-13T21:40:18Z
http://api.football-data.org/v1/competitions/436,http://api.football-data.org/v1/competitions/436/teams,http://api.football-data.org/v1/competitions/436/fixtures,http://api.football-data.org/v1/competitions/436/leagueTable,436,Primera Division 2016/17,PD,2016,27,38,20,380,2017-03-13T21:40:34Z
http://api.football-data.org/v1/competitions/437,http://api.football-data.org/v1/competitions/437/teams,http://api.football-data.org/v1/competitions/437/fixtures,http://api.football-data.org/v1/competitions/437/leagueTable,437,Liga Adelante 2016/17,SD,2016,29,42,22,462,2017-03-12T21:30:43Z
http://api.football-data.org/v1/competitions/438,http://api.football-data.org/v1/competitions/438/teams,http://api.football-data.org/v1/competitions/438/fixtures,http://api.football-data.org/v1/competitions/438/leagueTable,438,Serie A 2016/17,SA,2016,28,38,20,380,2017-03-13T21:40:56Z
http://api.football-data.org/v1/competitions/439,http://api.football-data.org/v1/competitions/439/teams,http://api.football-data.org/v1/competitions/439/fixtures,http://api.football-data.org/v1/competitions/439/leagueTable,439,Primeira Liga 2016/17,PPL,2016,25,34,18,306,2017-03-13T22:00:20Z
http://api.football-data.org/v1/competitions/440,http://api.football-data.org/v1/competitions/440/teams,http://api.football-data.org/v1/competitions/440/fixtures,http://api.football-data.org/v1/competitions/440/leagueTable,440,Champions League 2016/17,CL,2016,7,10,32,112,2017-03-14T21:41:01Z
