fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,4358X,DON BENITO,BADAJOZ,273,"11,0","0,0","5,7",07:00,"16,2",16:40,25,"0,6","4,4",16:40,"4,8","990,5",10,"987,9",04
2017-03-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,485,"10,9","0,0","4,2",23:59,"17,6",14:20,24,"1,1","5,3",15:00,,,,,
2017-03-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"13,2","0,0","9,3",07:42,"17,2",14:56,12,"4,4","9,2",12:16,"7,1","948,4",00,"945,3",17
2017-03-01,9698U,TALARN,LLEIDA,807,"6,9","0,0","-2,0",06:30,"15,8",15:20,23,"2,5","8,1",15:20,"9,6","926,0",24,"921,4",00
2017-03-01,4410X,MÉRIDA,BADAJOZ,228,"11,3","0,0","3,8",05:40,"18,8",15:10,25,"0,6","4,7",14:20,,,,,
2017-03-01,1331A,CASTROPOL,ASTURIAS,40,"13,6","1,3","10,6",00:20,"16,7",14:10,25,"6,1","15,3",18:00,,,,,
2017-03-01,1690A,OURENSE,OURENSE,143,"13,4",Ip,"9,9",04:50,"16,9",14:40,26,"1,9","9,2",14:10,"2,0","1002,3",22,"999,8",06
2017-03-01,0002I,VANDELLÒS  ,TARRAGONA,32,"13,4","0,0","9,3",02:50,"17,4",11:40,33,"1,9","16,9",05:30,,,,,
2017-03-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"6,6","0,0","-0,8",05:30,"14,1",12:50,11,"2,5","6,9",15:10,"10,2","891,6",24,"888,4",03
2017-03-01,8025,ALICANTE/ALACANT,ALICANTE,81,"14,7","0,0","10,4",23:59,"19,0",15:20,15,"1,7","7,2",11:40,"10,7","1012,3",11,"1008,6",04
2017-03-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"17,9","0,0","15,3",Varias,"20,5",13:20,09,"3,1","10,8",15:00,"9,6","1015,2",00,"1011,5",17
2017-03-01,9784P,BIELSA,HUESCA,990,"5,4","0,0","-3,8",05:50,"14,7",14:30,14,"1,4","9,2",Varias,,"906,1",Varias,"901,3",00
2017-03-01,2331,BURGOS AEROPUERTO,BURGOS,891,"6,3","0,0","2,2",04:30,"10,4",14:30,21,"6,1","12,8",14:10,"1,6","917,3",10,"914,6",Varias
2017-03-01,9434,ZARAGOZA AEROPUERTO,ZARAGOZA,249,"11,8","0,0","3,3",06:50,"20,2",15:50,27,"1,9","7,5",14:10,"10,5","990,0",10,"986,3",16
2017-03-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"13,5","0,0","8,4",01:00,"18,6",12:30,23,"2,2","8,3",01:30,"8,8","1019,1",23,"1015,0",14
2017-03-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"13,9","2,7","9,3",00:00,"18,5",16:16,26,"3,9","13,3",15:55,"5,6","1002,9",Varias,"999,2",04
2017-03-01,9394X,CALATAYUD,ZARAGOZA,600,"11,4","0,0","3,4",07:00,"19,3",16:00,27,"1,9","9,4",16:30,,"952,1",24,"948,4",16
2017-03-01,3094B,TARANCÓN,CUENCA,808,"10,2","0,0","4,0",05:40,"16,3",16:00,26,"1,7","7,2",00:20,"7,8","926,5",10,"924,3",04
2017-03-01,1059X,PUNTA GALEA,BIZKAIA,90,"12,2","0,0","5,7",02:00,"18,8",14:20,19,"2,2","7,5",11:40,,"1009,7",24,"1005,2",14
